dataset,seed,model,calibration,shift,severity,temperature,n_test,accuracy,mean_confidence,confidence_gap,ece,brier,nll,aurc
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.0,1.020665286945125,114,0.956140350877193,0.9364357978276663,-0.019704553049526674,0.032980325814773254,0.06337893420973068,0.11029997984743191,0.0037273522383613664
Breast Cancer,0,Random Forest,Temperature scaled,Gaussian noise,0.0,1.020665286945125,114,0.956140350877193,0.9350860015014691,-0.021054349375723813,0.0334752671334264,0.06366784816394547,0.11117420338959919,0.0037273522383613664
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.25,1.020665286945125,114,0.9210526315789473,0.9015835004176234,-0.019469131161323983,0.0801251879700125,0.08454257094124201,0.1475934116541731,0.004747991819364825
Breast Cancer,0,Random Forest,Temperature scaled,Gaussian noise,0.25,1.020665286945125,114,0.9210526315789473,0.8995187769130893,-0.021533854665858,0.08760642947768464,0.08509233597338133,0.1494117442177478,0.004747991819364825
Breast Cancer,0,Random Forest,Raw,Gaussian noise,0.5,1.020665286945125,114,0.9122807017543859,0.848964369256457,-0.0633163324979289,0.0700004594820559,0.13002318995544415,0.22876247324903098,0.013135746075516503
Breast Cancer,0,Random Forest,Temperature scaled,Gaussian noise,0.5,1.020665286945125,114,0.9122807017543859,0.8461718245020174,-0.06610887725236847,0.07414974751095318,0.1310590888960418,0.23115585430039665,0.013135746075516503
Breast Cancer,0,Random Forest,Raw,Gaussian noise,1.0,1.020665286945125,114,0.8508771929824561,0.7586566833750956,-0.0922205096073605,0.1399565162907356,0.2056287185738155,0.35059232316386246,0.026667203825823094
Breast Cancer,0,Random Forest,Temperature scaled,Gaussian noise,1.0,1.020665286945125,114,0.8508771929824561,0.755265937561191,-0.09561125542126514,0.13604320371861273,0.2074821737099406,0.35377604847996635,0.026667203825823094
Breast Cancer,0,Random Forest,Raw,Gaussian noise,1.5,1.020665286945125,114,0.8333333333333334,0.6847874686716792,-0.1485458646616542,0.14854586466165404,0.289015048320802,0.4554452771029384,0.06108375313215806
Breast Cancer,0,Random Forest,Temperature scaled,Gaussian noise,1.5,1.020665286945125,114,0.8333333333333334,0.6820348368873115,-0.1512984964460219,0.1512984964460218,0.29075383773540847,0.45802587275863116,0.06108375313215806
Breast Cancer,0,Random Forest,Raw,Gaussian noise,2.0,1.020665286945125,114,0.7105263157894737,0.6694323308270674,-0.04109398496240624,0.1613512113617377,0.3413252718486693,0.5180835749886181,0.10786652626008165
Breast Cancer,0,Random Forest,Temperature scaled,Gaussian noise,2.0,1.020665286945125,114,0.7105263157894737,0.6666619346125641,-0.043864381176909606,0.16347214357724393,0.34260047902870594,0.5199088484525598,0.10786652626008165
Breast Cancer,0,Random Forest,Raw,Feature masking,0.0,1.020665286945125,114,0.956140350877193,0.9364357978276663,-0.019704553049526674,0.032980325814773254,0.06337893420973068,0.11029997984743191,0.0037273522383613664
Breast Cancer,0,Random Forest,Temperature scaled,Feature masking,0.0,1.020665286945125,114,0.956140350877193,0.9350860015014691,-0.021054349375723813,0.0334752671334264,0.06366784816394548,0.1111742033895992,0.0037273522383613664
Breast Cancer,0,Random Forest,Raw,Feature masking,0.1,1.020665286945125,114,0.956140350877193,0.9082620300751003,-0.047878320802092644,0.048558855472101106,0.06941659414369256,0.13316419712227642,0.003404869969667604
Breast Cancer,0,Random Forest,Temperature scaled,Feature masking,0.1,1.020665286945125,114,0.956140350877193,0.9059900147060846,-0.05015033617110831,0.05081710634940734,0.07006256955158068,0.13524229509761215,0.003404869969667604
Breast Cancer,0,Random Forest,Raw,Feature masking,0.2,1.020665286945125,114,0.956140350877193,0.8972190476190037,-0.05892130325818923,0.08116574770263366,0.06975424800413733,0.14714958863231356,0.0044783792536959265
Breast Cancer,0,Random Forest,Temperature scaled,Feature masking,0.2,1.020665286945125,114,0.956140350877193,0.8944267927621886,-0.06171355811500434,0.0768133895248898,0.07076055448467673,0.149768042430895,0.0044783792536959265
Breast Cancer,0,Random Forest,Raw,Feature masking,0.3,1.020665286945125,114,0.956140350877193,0.862011904761896,-0.09412844611529692,0.10305359231412735,0.0932640623570832,0.1940107028240765,0.010758224350107959
