dataset,seed,model,severity,n_test,n_errors,accuracy,confidence_all,confidence_correct,confidence_error,margin_all,margin_correct,margin_error,high_confidence_error_rate,vote_agreement,vote_agreement_error,vote_entropy,vote_entropy_error,disagreement_confidence_correlation
Breast Cancer,1,Gradient Boosting,1.5,114,23,0.7982456140350878,0.8433205586977761,0.8671667433719316,0.7489726106391611,2.3776847092925166,2.6489281185937923,1.3045042637961641,0.21739130434782608,,,,,
Breast Cancer,1,Gradient Boosting,2.0,114,37,0.6754385964912281,0.8321240143084875,0.8675370715775161,0.7584265708026716,2.0887807176774422,2.44215859274162,1.3533727074087487,0.24324324324324326,,,,,
Breast Cancer,2,Logistic Regression,0.0,114,4,0.9649122807017544,0.97778810627655,0.9839070421974687,0.8095173684512805,8.391331949833422,8.631003124749173,1.8003746396502338,0.5,,,,,
Breast Cancer,2,Logistic Regression,0.25,114,5,0.956140350877193,0.9750040016797445,0.9847712249983098,0.7620785333350204,8.40718737164331,8.729360086267533,1.3838221928352656,0.2,,,,,
Breast Cancer,2,Logistic Regression,0.5,114,5,0.956140350877193,0.9667830864251001,0.9742244329696249,0.8045617317544626,8.723441091378609,9.043464300068381,1.7469351419415724,0.2,,,,,
Breast Cancer,2,Logistic Regression,1.0,114,6,0.9473684210526315,0.9695492589165423,0.9738523633612668,0.8920933789115012,8.246745536170016,8.499479463623326,3.697534842010414,0.5,,,,,
Breast Cancer,2,Logistic Regression,1.5,114,13,0.8859649122807017,0.9371816026045244,0.9633779699059776,0.733655979724005,8.456970494964096,9.395570790071384,1.1647682022074815,0.07692307692307693,,,,,
Breast Cancer,2,Logistic Regression,2.0,114,22,0.8070175438596491,0.9811966357818523,0.9812172605183079,0.9811103868839474,10.840314652189926,12.069235386499885,5.7011915814391765,0.9545454545454546,,,,,
Breast Cancer,2,Random Forest,0.0,114,3,0.9736842105263158,0.9388131161236423,0.9451169026169024,0.7055730158730159,0.877626232247285,0.8902338052338051,0.4111460317460318,0.0,0.9366666666666665,0.6826666666666666,0.23318038324737522,0.8300139395010913,-0.9898761491543311
Breast Cancer,2,Random Forest,0.25,114,6,0.9473684210526315,0.9052852548036758,0.9222650352733686,0.5996492063492064,0.8105705096073514,0.844530070546737,0.19929841269841267,0.0,0.9014035087719299,0.588,0.3432616547261014,0.9543030898884853,-0.9847525995440051
Breast Cancer,2,Random Forest,0.5,114,4,0.9649122807017544,0.8486248120300752,0.8557300865800866,0.653229761904762,0.6972496240601505,0.7114601731601733,0.3064595238095238,0.0,0.8410877192982457,0.609,0.5161681571205233,0.9198165130933601,-0.9826084803625427
