dataset,seed,model,calibration,shift,severity,temperature,n_test,bin,bin_lower,bin_upper,count,bin_confidence,bin_accuracy
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,9,0.6,0.6666666666666666,5,0.6438592930319429,0.6
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,11,0.7333333333333333,0.8,1,0.7817416671130412,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,12,0.8,0.8666666666666667,1,0.8367156012773078,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,2,0.9216654283117127,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.0,0.6230715891594052,114,14,0.9333333333333333,1.0,103,0.9972917004991734,0.941747572815534
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,3,0.5171407481592653,0.3333333333333333
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,8,0.5333333333333333,0.6,5,0.5645746714138481,0.4
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,9,0.6,0.6666666666666666,3,0.6403790287899626,0.6666666666666666
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,1,0.7058513377098145,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,11,0.7333333333333333,0.8,6,0.7672727760293231,0.6666666666666666
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,12,0.8,0.8666666666666667,4,0.8371790411768218,0.25
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,7,0.8958957113695368,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,1.5,0.6230715891594052,114,14,0.9333333333333333,1.0,85,0.993941799963354,0.9176470588235294
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,2,0.521859468088288,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,8,0.5333333333333333,0.6,4,0.5678493068350682,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,9,0.6,0.6666666666666666,2,0.6397916318981309,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,2,0.7059822177543236,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,11,0.7333333333333333,0.8,1,0.73636265040066,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,12,0.8,0.8666666666666667,3,0.830566189374387,0.6666666666666666
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,6,0.8958275065740925,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,1.5,0.6230715891594052,114,14,0.9333333333333333,1.0,94,0.995747031584094,0.9148936170212766
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,1,0.5243774988711231,0.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,8,0.5333333333333333,0.6,5,0.5586444692258381,0.8
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,9,0.6,0.6666666666666666,1,0.6357122911210901,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,4,0.6967132183636126,0.75
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,12,0.8,0.8666666666666667,1,0.8456357198877309,1.0
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,2,0.919809647437454,0.5
Breast Cancer,0,Logistic Regression,Raw,Gaussian noise,2.0,0.6230715891594052,114,14,0.9333333333333333,1.0,100,0.9947799636344827,0.85
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,8,0.5333333333333333,0.6,5,0.5725146811918427,0.6
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,9,0.6,0.6666666666666666,1,0.6427950963401315,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,1,0.7096409111598435,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,11,0.7333333333333333,0.8,2,0.7678223177005377,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,12,0.8,0.8666666666666667,2,0.8139799044019655,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Gaussian noise,2.0,0.6230715891594052,114,14,0.9333333333333333,1.0,103,0.9983373341882615,0.8446601941747572
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,2,0.5041594078330234,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,8,0.5333333333333333,0.6,2,0.5602905741705184,0.5
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,2,0.7120970718628991,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,11,0.7333333333333333,0.8,2,0.7576502857546887,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,12,0.8,0.8666666666666667,1,0.8289470475580423,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,8,0.890868984365236,0.875
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.0,0.6230715891594052,114,14,0.9333333333333333,1.0,97,0.9952027306706757,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,2,0.506674825004696,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,8,0.5333333333333333,0.6,1,0.570339626946984,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,9,0.6,0.6666666666666666,1,0.6214017787546667,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,11,0.7333333333333333,0.8,1,0.785270832259455,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,12,0.8,0.8666666666666667,2,0.841173920396418,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,2,0.9006094793207045,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.0,0.6230715891594052,114,14,0.9333333333333333,1.0,105,0.9969440343705971,0.9904761904761905
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,3,0.5115386444477193,0.3333333333333333
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,8,0.5333333333333333,0.6,3,0.5894580915817696,0.6666666666666666
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,11,0.7333333333333333,0.8,3,0.7770521583172639,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,12,0.8,0.8666666666666667,4,0.8502100822569678,0.75
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,6,0.8999438389782344,0.8333333333333334
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.1,0.6230715891594052,114,14,0.9333333333333333,1.0,95,0.9938535465907161,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,3,0.5185090879343823,0.3333333333333333
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,9,0.6,0.6666666666666666,3,0.6410875404761257,0.6666666666666666
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,12,0.8,0.8666666666666667,1,0.8573108253047664,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,3,0.9046009356063648,0.6666666666666666
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.1,0.6230715891594052,114,14,0.9333333333333333,1.0,104,0.9961232283596335,0.9903846153846154
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,8,0.5333333333333333,0.6,1,0.5777972429264678,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,9,0.6,0.6666666666666666,2,0.6238907248611805,0.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,2,0.6992159211972648,0.5
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,11,0.7333333333333333,0.8,1,0.7600057939419115,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,12,0.8,0.8666666666666667,6,0.8353432254818293,1.0
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,7,0.9064413104073596,0.8571428571428571
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.2,0.6230715891594052,114,14,0.9333333333333333,1.0,95,0.9915426231429973,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,9,0.6,0.6666666666666666,2,0.64177322009571,0.5
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,10,0.6666666666666666,0.7333333333333333,1,0.7238285202123166,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,11,0.7333333333333333,0.8,1,0.767871766217961,0.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,12,0.8,0.8666666666666667,2,0.8421774494355521,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,13,0.8666666666666667,0.9333333333333333,3,0.9122988320028504,1.0
Breast Cancer,0,Logistic Regression,Temperature scaled,Feature masking,0.2,0.6230715891594052,114,14,0.9333333333333333,1.0,105,0.9958566704875881,0.9904761904761905
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,7,0.4666666666666667,0.5333333333333333,2,0.5084246878623837,0.5
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,8,0.5333333333333333,0.6,3,0.5733582219693611,0.3333333333333333
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,9,0.6,0.6666666666666666,5,0.6402727315435323,0.6
Breast Cancer,0,Logistic Regression,Raw,Feature masking,0.3,0.6230715891594052,114,11,0.7333333333333333,0.8,1,0.7476125359603614,1.0
